HourlyWindDirection,HourlyWindSpeed,PrevHourlyWindDirection,PrevHourlyWindSpeed
290,5,300,9
300,9,320,11
320,11,330,11
330,11,330,10
330,10,330,9
330,9,330,10
330,10,330,10
330,10,320,9
320,9,320,9
320,9,#N/A,#N/A
#N/A,#N/A,330,11
330,11,320,11
320,11,330,11
330,11,330,11
330,11,320,11
320,11,320,10
320,10,330,11
330,11,330,13
330,13,330,13
330,13,330,14
330,14,340,13
340,13,340,14
340,14,340,11
340,11,340,11
340,11,340,11
340,11,340,13
340,13,330,14
330,14,340,11
340,11,340,9
340,9,330,10
330,10,330,9
330,9,330,10
330,10,340,9
340,9,340,6
340,6,340,7
340,7,340,6
340,6,320,7
320,7,330,7
330,7,340,10
340,10,350,11
350,11,320,11
320,11,310,9
310,9,330,13
330,13,320,9
320,9,350,7
350,7,330,7
330,7,360,8
360,8,350,10
350,10,350,10
350,10,330,11
330,11,340,11
340,11,330,10
330,10,340,13
340,13,350,13
350,13,320,9
320,9,330,9
330,9,310,9
310,9,320,9
320,9,310,10
310,10,320,8
320,8,310,10
310,10,340,5
340,5,310,6
310,6,310,6
310,6,330,6
330,6,310,5
310,5,320,7
320,7,330,6
330,6,330,5
330,5,360,6
360,6,20,5
20,5,0,0
0,0,320,3
320,3,300,5
300,5,0,0
0,0,330,5
330,5,0,0
0,0,330,5
330,5,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,#N/A,#N/A
#N/A,#N/A,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,180,5
180,5,190,7
190,7,190,8
190,8,190,8
190,8,200,10
200,10,200,10
200,10,200,9
200,9,200,8
200,8,200,9
200,9,200,11
200,11,200,13
200,13,190,11
190,11,200,11
200,11,200,10
200,10,190,13
190,13,190,16
190,16,190,15
190,15,180,16
180,16,180,17
180,17,180,15
180,15,190,16
190,16,190,18
190,18,180,15
180,15,180,17
180,17,180,15
180,15,180,14
180,14,180,16
180,16,180,14
180,14,180,14
180,14,180,14
180,14,170,13
170,13,180,15
180,15,180,16
180,16,170,15
170,15,180,16
180,16,180,16
180,16,170,16
170,16,180,15
180,15,180,16
180,16,170,16
170,16,180,16
180,16,180,15
180,15,180,11
180,11,190,15
190,15,200,14
200,14,190,15
190,15,200,16
200,16,190,15
190,15,190,16
190,16,190,15
190,15,190,15
190,15,200,13
200,13,190,14
190,14,#N/A,#N/A
#N/A,#N/A,200,13
200,13,200,13
200,13,200,11
200,11,200,9
200,9,200,11
200,11,200,9
200,9,190,9
190,9,190,10
190,10,190,10
190,10,190,11
190,11,190,11
190,11,180,11
180,11,180,9
180,9,180,10
180,10,180,8
180,8,170,9
170,9,170,8
170,8,170,9
170,9,170,7
170,7,170,7
170,7,160,7
160,7,160,7
160,7,170,7
170,7,170,6
170,6,180,7
180,7,170,8
170,8,170,9
170,9,170,9
170,9,180,11
180,11,180,9
180,9,180,9
180,9,180,10
180,10,170,8
170,8,180,8
180,8,170,9
170,9,180,7
180,7,160,7
160,7,160,8
160,8,180,9
180,9,180,9
180,9,180,14
180,14,180,13
180,13,180,11
180,11,190,11
190,11,180,9
180,9,190,11
190,11,190,10
190,10,190,11
190,11,190,11
190,11,190,10
190,10,190,10
190,10,190,9
190,9,190,13
190,13,180,13
180,13,180,14
180,14,180,15
180,15,190,15
190,15,190,14
190,14,190,10
190,10,200,13
200,13,200,13
200,13,190,14
190,14,200,11
200,11,200,11
200,11,200,10
200,10,200,13
200,13,210,11
210,11,200,11
200,11,200,11
200,11,200,9
200,9,210,8
210,8,210,6
210,6,#N/A,#N/A
#N/A,#N/A,200,7
200,7,200,7
200,7,200,9
200,9,200,9
200,9,200,6
200,6,190,7
190,7,200,6
200,6,190,7
190,7,210,6
210,6,0,0
0,0,220,6
220,6,230,5
230,5,220,3
220,3,190,5
190,5,0,0
0,0,0,0
0,0,210,3
210,3,210,3
210,3,210,3
210,3,210,3
210,3,0,0
0,0,0,0
0,0,240,3
240,3,0,0
0,0,0,0
0,0,0,0
0,0,300,7
300,7,310,9
310,9,310,9
310,9,310,9
310,9,320,11
320,11,300,11
300,11,320,13
320,13,330,14
330,14,330,16
330,16,320,13
320,13,330,14
330,14,340,15
340,15,330,11
330,11,330,13
330,13,330,13
330,13,330,15
330,15,320,10
320,10,310,14
310,14,320,11
320,11,330,11
330,11,330,13
330,13,330,11
330,11,330,13
330,13,330,10
330,10,330,15
330,15,330,9
330,9,320,15
320,15,320,14
320,14,330,16
330,16,330,15
330,15,340,14
340,14,330,11
330,11,320,11
320,11,330,9
330,9,320,10
320,10,350,7
350,7,330,10
330,10,340,10
340,10,350,7
350,7,330,9
330,9,350,9
350,9,350,6
350,6,360,6
360,6,360,7
360,7,360,7
360,7,360,6
360,6,#N/A,#N/A
#N/A,#N/A,350,8
350,8,360,5
360,5,360,5
360,5,340,5
340,5,330,9
330,9,340,9
340,9,340,7
340,7,350,7
350,7,10,7
10,7,360,5
360,5,20,5
20,5,0,0
0,0,60,3
60,3,0,0
0,0,320,3
320,3,360,3
360,3,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,220,3
220,3,250,3
250,3,0,0
0,0,0,0
0,0,200,6
200,6,220,5
220,5,0,0
0,0,210,3
210,3,200,3
200,3,210,3
210,3,180,7
180,7,210,9
210,9,210,9
210,9,230,9
230,9,210,9
210,9,190,11
190,11,210,9
210,9,230,14
230,14,210,8
210,8,230,9
230,9,220,6
220,6,240,8
240,8,200,7
200,7,210,10
210,10,200,9
200,9,200,7
200,7,220,6
220,6,190,6
190,6,200,8
200,8,200,8
200,8,190,9
190,9,190,13
190,13,190,13
190,13,190,13
190,13,200,10
200,10,200,11
200,11,200,11
200,11,190,14
190,14,200,8
200,8,190,13
190,13,210,9
210,9,200,14
200,14,200,10
200,10,200,14
200,14,190,13
190,13,190,13
190,13,#N/A,#N/A
#N/A,#N/A,190,11
190,11,190,11
190,11,190,10
190,10,190,15
190,15,180,10
180,10,190,11
190,11,190,9
190,9,200,9
200,9,200,9
200,9,180,10
180,10,190,14
190,14,190,10
190,10,190,13
190,13,190,11
190,11,190,11
190,11,190,13
190,13,180,9
180,9,180,9
180,9,180,9
180,9,190,9
190,9,180,10
180,10,190,10
190,10,180,10
180,10,200,8
200,8,200,8
200,8,180,8
180,8,180,9
180,9,180,9
180,9,180,11
180,11,180,8
180,8,180,8
180,8,190,8
190,8,180,10
180,10,180,10
180,10,180,10
180,10,180,8
180,8,180,10
180,10,180,13
180,13,180,11
180,11,170,9
170,9,170,8
170,8,160,8
160,8,170,10
170,10,170,10
170,10,170,11
170,11,180,15
180,15,180,15
180,15,180,11
180,11,170,13
170,13,170,13
170,13,180,10
180,10,190,10
190,10,180,9
180,9,190,10
190,10,180,9
180,9,180,10
180,10,180,7
180,7,190,9
190,9,170,13
170,13,180,16
180,16,180,14
180,14,180,14
180,14,180,10
180,10,180,13
180,13,180,16
180,16,180,15
180,15,180,14
180,14,180,14
180,14,190,13
190,13,180,11
180,11,190,9
190,9,220,6
220,6,#N/A,#N/A
#N/A,#N/A,220,7
220,7,210,6
210,6,220,3
220,3,200,3
200,3,0,0
0,0,150,3
150,3,170,5
170,5,170,5
170,5,170,3
170,3,190,6
190,6,180,7
180,7,190,6
190,6,190,3
190,3,190,5
190,5,190,6
190,6,190,6
190,6,200,5
200,5,210,3
210,3,220,3
220,3,210,3
210,3,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,270,3
270,3,250,3
250,3,0,0
0,0,260,3
260,3,0,0
0,0,260,3
260,3,280,3
280,3,290,3
290,3,300,3
300,3,310,3
310,3,330,3
330,3,0,0
0,0,0,0
0,0,310,3
310,3,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,310,3
310,3,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,#N/A,#N/A
#N/A,#N/A,0,0
0,0,#N/A,#N/A
#N/A,#N/A,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,340,3
340,3,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,330,3
330,3,0,0
0,0,330,3
330,3,340,5
340,5,350,3
350,3,340,3
340,3,350,5
350,5,340,5
340,5,340,7
340,7,340,6
340,6,330,6
330,6,350,5
350,5,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,#N/A,#N/A
#N/A,#N/A,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,110,5
110,5,90,5
90,5,90,8
90,8,80,7
80,7,70,8
70,8,60,7
60,7,80,8
80,8,80,7
80,7,90,9
90,9,100,9
100,9,110,8
110,8,100,9
100,9,100,9
100,9,100,8
100,8,100,8
100,8,100,7
100,7,110,8
110,8,110,6
110,6,110,6
110,6,110,5
110,5,110,9
110,9,110,8
110,8,100,9
100,9,100,6
100,6,90,7
90,7,90,8
90,8,90,7
90,7,90,7
90,7,90,6
90,6,90,7
90,7,100,7
100,7,100,8
100,8,90,8
90,8,100,9
100,9,#N/A,#N/A
#N/A,#N/A,110,8
110,8,110,6
110,6,100,7
100,7,110,7
110,7,110,7
110,7,110,7
110,7,110,8
110,8,110,8
110,8,100,10
100,10,100,9
100,9,100,9
100,9,110,10
110,10,110,9
110,9,100,11
100,11,110,8
110,8,100,9
100,9,110,8
110,8,100,10
100,10,100,10
100,10,100,11
100,11,120,8
120,8,120,10
120,10,120,8
120,8,110,10
110,10,110,10
110,10,110,11
110,11,100,11
100,11,110,11
110,11,110,14
110,14,110,14
110,14,110,13
110,13,110,13
110,13,110,15
110,15,120,13
120,13,120,14
120,14,110,15
110,15,110,14
110,14,110,17
110,17,100,17
100,17,100,16
100,16,110,17
110,17,100,17
100,17,100,18
100,18,110,17
110,17,100,20
100,20,100,18
100,18,100,20
100,20,90,14
90,14,100,17
100,17,100,15
100,15,110,16
110,16,100,17
100,17,100,14
100,14,100,15
100,15,100,14
100,14,100,16
100,16,100,14
100,14,100,14
100,14,100,13
100,13,100,16
100,16,100,15
100,15,100,17
100,17,110,16
110,16,100,16
100,16,110,16
110,16,110,16
110,16,110,15
110,15,100,15
100,15,110,17
110,17,100,17
100,17,100,16
100,16,100,17
100,17,#N/A,#N/A
#N/A,#N/A,100,16
100,16,100,18
100,18,100,16
100,16,90,20
90,20,80,16
80,16,100,15
100,15,110,16
110,16,110,18
110,18,110,15
110,15,100,13
100,13,100,14
100,14,100,13
100,13,100,13
100,13,90,14
90,14,100,13
100,13,90,14
90,14,100,14
100,14,100,11
100,11,100,10
100,10,100,13
100,13,90,9
90,9,90,10
90,10,80,10
80,10,80,10
80,10,80,9
80,9,80,8
80,8,80,10
80,10,80,9
80,9,80,9
80,9,80,10
80,10,80,11
80,11,80,13
80,13,100,15
100,15,90,13
90,13,100,13
100,13,90,13
90,13,100,14
100,14,100,11
100,11,100,9
100,9,100,10
100,10,90,13
90,13,90,11
90,11,100,11
100,11,90,11
90,11,90,10
90,10,80,9
80,9,80,10
80,10,70,9
70,9,70,8
70,8,60,8
60,8,40,5
40,5,50,6
50,6,40,5
40,5,50,7
50,7,60,8
60,8,60,7
60,7,60,7
60,7,60,6
60,6,70,7
70,7,80,8
80,8,80,8
80,8,90,8
90,8,90,10
90,10,100,9
100,9,100,8
100,8,100,8
100,8,90,6
90,6,90,7
90,7,100,8
100,8,100,9
100,9,110,7
110,7,110,10
110,10,#N/A,#N/A
#N/A,#N/A,110,9
110,9,120,7
120,7,120,7
120,7,130,7
130,7,130,5
130,5,130,6
130,6,140,6
140,6,130,6
130,6,120,5
120,5,120,5
120,5,110,5
110,5,110,7
110,7,110,6
110,6,110,5
110,5,120,6
120,6,110,8
110,8,120,8
120,8,110,7
110,7,110,9
110,9,120,8
120,8,120,10
120,10,120,10
120,10,120,9
120,9,110,9
110,9,110,9
110,9,120,9
120,9,130,8
130,8,130,11
130,11,130,9
130,9,140,7
140,7,130,8
130,8,130,9
130,9,130,9
130,9,140,9
140,9,130,10
130,10,140,8
140,8,140,8
140,8,130,14
130,14,130,14
130,14,130,13
130,13,130,14
130,14,130,11
130,11,140,9
140,9,130,11
130,11,130,13
130,13,140,11
140,11,130,14
130,14,120,15
120,15,120,15
120,15,120,16
120,16,120,15
120,15,130,18
130,18,120,16
120,16,120,18
120,18,120,17
120,17,120,17
120,17,120,18
120,18,130,18
130,18,130,20
130,20,130,19
130,19,120,18
120,18,120,23
120,23,120,23
120,23,120,24
120,24,120,24
120,24,130,24
130,24,130,18
130,18,130,21
130,21,130,18
130,18,130,18
130,18,130,22
130,22,130,17
130,17,#N/A,#N/A
#N/A,#N/A,130,21
130,21,130,22
130,22,130,18
130,18,130,20
130,20,120,23
120,23,130,18
130,18,130,21
130,21,120,23
120,23,130,16
130,16,130,17
130,17,140,16
140,16,140,20
140,20,140,18
140,18,140,17
140,17,130,25
130,25,140,23
140,23,130,28
130,28,140,21
140,21,130,28
130,28,140,21
140,21,140,21
140,21,140,28
140,28,140,23
140,23,140,26
140,26,140,21
140,21,140,22
140,22,140,26
140,26,140,20
140,20,150,21
150,21,140,24
140,24,140,21
140,21,140,17
140,17,150,17
150,17,140,18
140,18,150,21
150,21,140,17
140,17,140,17
140,17,140,18
140,18,140,16
140,16,140,16
140,16,140,13
140,13,140,13
140,13,140,14
140,14,140,13
140,13,140,10
140,10,140,13
140,13,150,14
150,14,150,13
150,13,140,14
140,14,130,16
130,16,140,14
140,14,140,13
140,13,150,13
150,13,140,13
140,13,150,13
150,13,150,10
150,10,140,11
140,11,150,10
150,10,150,11
150,11,150,7
150,7,160,6
160,6,160,8
160,8,160,6
160,6,160,5
160,5,120,3
120,3,150,3
150,3,160,5
160,5,200,6
200,6,170,3
170,3,170,3
170,3,0,0
0,0,0,0
0,0,#N/A,#N/A
#N/A,#N/A,110,5
110,5,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,320,5
320,5,340,7
340,7,330,8
330,8,320,8
320,8,330,10
330,10,330,9
330,9,320,13
320,13,320,10
320,10,310,10
310,10,300,10
300,10,310,14
310,14,300,15
300,15,310,13
310,13,300,16
300,16,310,17
310,17,300,18
300,18,300,17
300,17,300,20
300,20,290,16
290,16,300,17
300,17,290,17
290,17,290,17
290,17,280,16
280,16,280,14
